# collected from ~/text (user diary) via MeCab enumeration.
あ	亜
えいへいじ	永平寺
えいめい	英名
えいやく	英訳
えいよう	栄養
えいようざい	栄養剤
えいようし	栄養士
えいようしっちょう	栄養失調
えいようそ	栄養素
えいようぶん	栄養分
えいり	営利
えいれい	英霊
えいわ	栄和,英和
えかき	絵かき
えがお	笑顔
えがしら	江頭
えがら	絵柄
えき	駅,液,益
えきいん	駅員
えきしゃ	駅舎
えきしょう	液晶
えきじょう	液状
えきたい	液体
えきでん	駅伝
えきべん	駅弁
えきまえ	駅前
えきめい	駅名
えぐち	江口
えこだ	江古田
えごころ	絵心
えごた	江古田
えさ	餌
えさん	恵山
えし	絵師,壊死
えしゃく	会釈
えぞ	蝦夷
えたい	得体
えだ	江田,枝
えだまめ	枝豆
えだわかれ	枝分かれ
えっきょう	越境
えつ	越
えつけ	絵付
えつらく	悦楽
えつらん	閲覧
えづけ	餌付け
えと	干支
えとう	衛藤
えど	江戸
えどがわ	江戸川
えどがわばし	江戸川橋
えどじょう	江戸城
えなつ	江夏
えにわ	恵庭
えのきづ	榎津
えのきど	榎戸
えのしま	江ノ島,江の島
えのしません	江ノ島線
えのもと	榎本
えはがき	絵はがき,絵葉書
えばた	江端
えばら	荏原
えひめ	愛媛
えび	海老,蛯,蝦
えびす	恵比寿,胡,恵比須
えびな	海老名
えびはら	蛯原
えべつ	江別
えほう	恵方
えほん	絵本
えま	絵馬
えみ	笑,笑み,恵実
えもじ	絵文字
えもの	獲物
えらび	選び
えらびかた	選び方
えり	襟,絵里,絵理,恵理
えりあし	襟足
えん	円,縁,苑,園,圓
えんえん	延々
えんか	嚥下
えんかい	宴会
えんかく	遠隔
えんかつ	円滑
えんがわ	縁側
えんがん	沿岸
えんき	延期
えんきょり	遠距離
えんきり	縁切り
えんきん	遠近
えんぎ	演技,縁起
えんぐみ	縁組
えんぐらふ	円グラフ
えんけい	円形
えんげい	園芸
えんげき	演劇
えんこん	怨恨
えんご	援護
えんさん	塩酸
えんざい	冤罪
えんざん	演算
えんし	遠視
えんしゅう	演習,円周
えんしゅつ	演出
えんしょう	炎症
えんじゃ	演者
えんじょ	援助
えんじょう	炎上
えんせい	遠征,厭世
えんせき	縁石,宴席
えんせん	沿線
えんぜつ	演説
えんそ	塩素
えんそう	演奏
えんそく	遠足
えんぞう	円蔵
えんたい	延滞
えんたく	円卓
えんだい	演題
えんだん	縁談,演壇
えんちょう	延長
えんちょうせん	延長線
えんてんか	炎天下
えんでん	塩田
えんとう	円筒
えんとつ	煙突
えんどう	遠藤,沿道
えんにち	縁日
えんばん	円盤
えんぴつ	鉛筆
えんぶ	演舞
えんぶん	塩分
えんべつ	遠別
えんぽう	遠方
えんぽん	円本
えんまん	円満
えんむすび	縁結び
えんめい	延命
えんもく	演目
えんりょ	遠慮
お	尾
おあづけ	お預け
おい	甥
おいあげ	追い上げ
おいうち	追い打ち
おいかわ	及川
おいこし	追い越し
おいこみ	追い込み
おいそがしい	お忙しい
おいたち	生い立ち
おいのり	お祈り
おいわい	お祝い
おいわけ	追分,追分け
おう	王,欧
おうい	王位
おういん	押印
おうう	奥羽
おうえん	応援
おうか	押下,謳歌,桜花
おうかくまく	横隔膜
おうかん	王冠
おうきゅう	応急
おうけ	王家
おうけとり	お受け取り
おうこく	王国
おうごん	黄金
おうさか	逢坂
おうさま	王様
おうしつ	王室
おうしゅう	応酬,欧州
おうしょう	王将
おうしん	往診
おうじ	王子
おうじゃ	王者
おうじょ	王女
おうせつ	応接
おうせん	応戦
おうぞく	王族
おうたい	応対,黄体
おうだん	横断
おうちゃく	横着
おうて	王手
おうてん	横転
おうと	嘔吐,おう吐
おうとう	応答
おうとつ	凹凸,凸凹
おうど	黄土
おうどう	王道
おうねん	往年
おうふう	欧風
おうふく	往復
おうへい	横柄
おうべい	欧米
おうぼ	応募
おうぼう	横暴
おうみ	近江
おうめ	青梅
おうよう	応用
